id,sentiment
12311_10,1
8348_2,1
5828_4,1
7186_2,1
12128_7,1
2913_8,1
4396_1,1
395_2,1
10616_1,1
9074_9,1
9252_3,1
9896_9,1
574_4,1
11182_8,1
11656_4,1
2322_4,1
8703_1,1
7483_1,1
6007_10,1
12424_4,1
4672_1,1
10841_3,1
8954_7,1
7392_1,1
10288_8,1
5343_4,1
4950_1,1
9257_4,1
8689_3,1
4480_2,1
9286_10,1
12245_10,1
7529_7,1
4_4,1
5299_2,1
12077_8,1
10701_2,1
11579_1,1
10993_1,1
8913_1,1
1350_3,1
3804_2,1
5025_3,1
5170_8,1
8225_8,1
6427_7,1
3165_3,1
7902_9,1
8208_3,1
3577_8,1
4865_1,1
9063_3,1
1106_1,1
1117_9,1
1050_4,1
10755_9,1
2729_8,1
10072_10,1
2904_7,1
4584_2,1
189_4,1
6302_4,1
8138_9,1
1262_1,1
2199_10,1
6551_7,1
8082_7,1
4897_8,1
7360_1,1
11012_10,1
12046_1,1
2331_2,1
8961_9,1
751_7,1
9884_10,1
10016_8,1
8023_10,1
2628_1,1
5832_1,1
7302_1,1
4501_3,1
1121_7,1
8334_3,1
9789_10,1
4230_10,1
824_4,1
6803_9,1
3086_7,1
1135_8,1
10136_1,1
11129_3,1
2072_8,1
9501_7,1
319_10,1
1693_7,1
10886_1,1
9406_8,1
10376_10,1
9902_1,1
9938_8,1
7080_9,1
11944_8,1
5249_1,1
9599_2,1
9620_1,1
11244_1,1
6841_10,1
10050_4,1
10512_9,1
11327_3,1
10681_8,1
808_3,1
546_7,1
10765_1,1
7189_9,1
6005_9,1
11915_9,1
5740_10,1
7097_10,1
9573_10,1
5084_4,1
12332_7,1
8154_1,1
5610_1,1
5323_9,1
11034_8,1
3977_2,1
12380_7,1
1737_8,1
6030_9,1
5918_7,1
7061_9,1
266_8,1
1375_10,1
8648_3,1
10146_10,1
4578_10,1
4685_8,1
11843_9,1
5467_10,1
10140_10,1
7721_8,1
11208_10,1
1063_10,1
8260_10,1
3182_9,1
2797_8,1
7613_2,1
11624_4,1
4847_10,1
10684_7,1
6312_1,1
4925_3,1
4125_1,1
2394_10,1
12105_10,1
7812_1,1
1061_8,1
9343_3,1
7696_10,1
9355_10,1
782_9,1
9882_10,1
10642_10,1
7410_2,1
9591_4,1
11902_3,1
3495_7,1
6733_1,1
4552_1,1
6722_1,1
188_10,1
5099_10,1
10313_1,1
6756_9,1
6622_2,1
4807_10,1
7173_3,1
11321_8,1
7909_9,1
8012_7,1
8615_4,1
8117_10,1
1892_10,1
4617_1,1
1893_8,1
5435_1,1
162_3,1
6516_10,1
11588_7,1
2006_1,1
1594_4,1
1472_1,1
3647_1,1
174_7,1
5539_7,1
3384_10,1
3811_4,1
4079_8,1
1179_7,1
3069_9,1
3769_8,1
9247_10,1
10434_1,1
1147_10,1
5344_7,1
8073_10,1
7833_3,1
8370_1,1
9007_8,1
6624_7,1
6683_3,1
12275_7,1
11927_8,1
1560_10,1
1325_9,1
3548_8,1
607_1,1
6702_7,1
5702_3,1
11345_8,1
3428_4,1
7209_9,1
8425_8,1
3087_1,1
1119_8,1
5715_3,1
8645_1,1
2149_3,1
10403_10,1
5628_1,1
5570_10,1
1613_3,1
1454_4,1
5094_3,1
7982_1,1
6894_2,1
6554_1,1
4721_3,1
6904_4,1
893_8,1
4605_4,1
11516_7,1
11718_7,1
5956_1,1
7455_9,1
6396_4,1
1223_8,1
8556_1,1
6108_8,1
11690_1,1
3778_9,1
3627_4,1
8256_4,1
533_1,1
5235_4,1
621_2,1
5365_1,1
8180_3,1
7396_7,1
9776_10,1
8175_10,1
3128_1,1
4606_1,1
6158_2,1
3281_10,1
4723_4,1
11994_3,1
7701_1,1
103_3,1
8908_10,1
8876_1,1
7519_9,1
12456_8,1
9514_8,1
8680_8,1
12402_10,1
362_2,1
9825_7,1
2913_3,1
7164_8,1
11177_7,1
5707_10,1
8103_10,1
6289_1,1
11754_1,1
11640_10,1
9933_7,1
185_10,1
242_10,1
9369_8,1
7453_10,1
7514_7,1
10860_2,1
8663_8,1
9108_1,1
7941_1,1
10116_1,1
9841_4,1
4512_9,1
4853_2,1
2664_4,1
9966_10,1
5167_2,1
3894_2,1
3929_8,1
7165_10,1
5451_8,1
2947_4,1
4611_10,1
5807_1,1
9464_8,1
3124_10,1
2705_4,1
12187_8,1
12319_10,1
9874_3,1
3406_4,1
2327_10,1
605_10,1
8080_4,1
3074_10,1
2499_3,1
1013_1,1
11535_1,1
4118_7,1
10492_8,1
2129_4,1
9814_10,1
10671_9,1
5980_10,1
2755_2,1
5461_2,1
11979_1,1
8810_1,1
852_7,1
10961_4,1
7436_4,1
11281_3,1
4208_3,1
8213_10,1
9851_2,1
4713_7,1
9528_1,1
3595_10,1
5785_3,1
10370_3,1
1980_3,1
8800_4,1
4437_3,1
28_3,1
12171_1,1
9359_3,1
3831_9,1
10962_7,1
1500_9,1
11470_10,1
11843_3,1
11200_4,1
1067_1,1
3333_1,1
4487_4,1
6428_1,1
575_7,1
10904_9,1
11821_2,1
11605_1,1
1111_7,1
10295_1,1
1146_4,1
2405_9,1
11081_10,1
2201_10,1
4844_1,1
11007_8,1
6535_7,1
2653_4,1
8245_10,1
9951_8,1
6133_8,1
10006_2,1
7350_1,1
4509_9,1
948_1,1
3987_1,1
2947_10,1
6041_3,1
2946_1,1
11967_4,1
1185_10,1
10323_2,1
11706_2,1
3663_1,1
5602_10,1
4870_10,1
1994_1,1
10807_7,1
6871_3,1
1175_2,1
10919_7,1
8127_10,1
12497_4,1
3274_1,1
2568_3,1
840_2,1
5626_10,1
7561_10,1
4600_3,1
3324_9,1
8899_7,1
5592_8,1
12483_4,1
7874_1,1
5878_10,1
4303_9,1
9421_1,1
10269_4,1
10615_2,1
2634_10,1
7522_1,1
9289_10,1
4636_10,1
1241_7,1
9458_9,1
11690_10,1
7176_4,1
6212_10,1
6319_1,1
5229_3,1
466_9,1
8693_2,1
2952_10,1
1128_1,1
3975_10,1
11365_10,1
2074_9,1
9768_10,1
4895_1,1
5726_10,1
9993_10,1
11319_2,1
10561_2,1
5455_8,1
10684_3,1
3652_3,1
7825_1,1
8806_1,1
275_10,1
2246_1,1
11968_2,1
2528_1,1
8491_8,1
13_1,1
4530_8,1
5207_3,1
11648_10,1
8260_1,1
10730_10,1
10402_3,1
8077_1,1
8598_8,1
2809_3,1
12490_10,1
1447_9,1
1605_3,1
2311_4,1
3235_9,1
5725_10,1
9025_10,1
6049_9,1
4803_10,1
191_9,1
420_3,1
5238_2,1
1280_9,1
9408_4,1
819_1,1
1656_4,1
9964_3,1
10404_4,1
12369_10,1
6423_1,1
9942_8,1
1519_1,1
100_10,1
3216_10,1
3909_10,1
5034_7,1
14_8,1
5891_3,1
8496_10,1
7429_1,1
9457_1,1
9602_8,1
4198_1,1
154_2,1
5070_2,1
4207_8,1
7758_8,1
4439_9,1
12042_1,1
7244_1,1
6854_1,1
11932_10,1
4151_10,1
7265_1,1
10272_7,1
4256_4,1
1225_7,1
956_10,1
6389_2,1
1365_4,1
4752_7,1
276_10,1
8766_9,1
11225_10,1
6920_1,1
11536_1,1
1923_9,1
11460_10,1
10054_7,1
10845_1,1
10231_4,1
9430_8,1
3226_2,1
4298_3,1
10635_4,1
10567_4,1
5460_10,1
7310_7,1
10330_2,1
5151_9,1
11_3,1
1448_8,1
10130_8,1
2199_3,1
1761_10,1
2782_1,1
7618_10,1
85_10,1
5730_3,1
3641_1,1
8190_9,1
9533_10,1
9508_1,1
237_8,1
3981_7,1
7194_9,1
10584_8,1
248_2,1
8358_4,1
1218_1,1
4191_10,1
3090_8,1
11923_2,1
1640_8,1
9972_3,1
11818_4,1
4350_10,1
877_10,1
10017_8,1
7975_10,1
8436_1,1
6024_7,1
3112_1,1
951_10,1
1622_1,1
191_3,1
5669_1,1
1891_4,1
12173_9,1
7887_7,1
3256_10,1
5419_1,1
7635_1,1
8297_2,1
7137_8,1
7562_3,1
9944_1,1
4288_1,1
8087_1,1
4771_10,1
10482_10,1
